DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2082.44,2283.70,884.30,2.23,110.61,0.41,2.23,1.00,1.00,2.58,5088.50,1970.38,0.71,2.76,1.09,0.32
2082.59,2283.70,888.60,2.21,113.47,0.42,2.21,1.00,0.99,2.57,5057.20,1967.78,0.74,2.77,1.09,0.33
2082.75,2284.90,888.60,2.22,114.98,0.41,2.22,1.00,0.98,2.57,5083.16,1976.85,0.76,2.77,1.09,0.32
2082.90,2298.40,880.20,2.24,111.51,0.41,2.24,1.00,0.98,2.61,5155.23,1974.26,0.72,2.76,1.09,0.31
2083.05,2293.90,909.50,2.24,112.76,0.41,2.24,1.00,0.97,2.52,5144.02,2039.54,0.73,2.77,1.09,0.31
2083.20,2299.10,887.00,2.24,118.63,0.42,2.24,1.00,0.98,2.59,5150.70,1987.16,0.80,2.78,1.09,0.32
2083.36,2308.20,936.80,2.22,128.35,0.43,2.22,1.00,1.00,2.46,5131.82,2082.79,0.91,2.80,1.09,0.34
2083.51,2335.90,936.80,2.22,136.51,0.45,2.22,1.00,1.00,2.49,5180.76,2077.71,1.00,2.81,1.09,0.34
2083.66,2363.90,918.80,2.21,136.01,0.45,2.21,1.00,0.98,2.57,5234.60,2034.58,0.99,2.81,1.09,0.35
2083.81,2364.00,987.20,2.23,126.79,0.44,2.23,1.00,0.94,2.39,5281.03,2205.35,0.89,2.79,1.09,0.33
2083.97,2376.20,981.80,2.25,111.51,0.40,2.26,1.00,0.97,2.42,5370.90,2219.15,0.72,2.76,1.09,0.30
2084.12,2364.40,979.80,2.28,93.77,0.40,2.28,1.00,1.00,2.41,5381.95,2230.26,0.52,2.73,1.09,0.28
2084.27,2343.10,979.80,2.27,86.98,0.40,2.27,1.00,1.00,2.39,5321.70,2225.34,0.44,2.72,1.09,0.28
2084.42,2346.00,967.40,2.27,89.52,0.41,2.27,1.00,1.00,2.43,5320.17,2193.83,0.47,2.72,1.09,0.28
2084.58,2357.80,966.10,2.27,98.44,0.41,2.27,1.00,1.00,2.44,5342.45,2189.05,0.57,2.74,1.09,0.29
2084.73,2359.10,976.20,2.26,103.25,0.43,2.26,1.00,1.00,2.42,5338.31,2209.00,0.62,2.75,1.09,0.29
2084.88,2362.90,982.70,2.26,103.29,0.43,2.26,1.00,1.00,2.40,5330.60,2216.93,0.62,2.75,1.09,0.30
