DEPTH,
2123.59,2
2123.74,2
2123.9,2
2124.05,2
2124.2,2
2124.35,2
2124.5,2
2124.66,2
2124.81,2
2124.96,2
2125.11,2
2125.27,2
2125.42,2
2125.57,2
2125.72,2
2125.88,2
2126.03,2
2126.18,2
2126.33,2
2126.49,2
2126.64,2
2126.79,2
2126.94,2
2127.1,3
2127.25,3
2127.4,3
2127.55,3
2127.71,3
2127.86,3
2128.01,3
2128.16,3
2128.31,3
2128.47,3
2128.62,3
2128.77,3
2128.92,3
2129.08,3
2129.23,3
2129.38,3
2129.53,3
2129.69,3
2129.84,3
2129.99,3
2130.14,3
2130.3,3
2130.45,3
2130.6,3
2130.75,3
2130.91,3
2131.06,3
2131.21,3
2131.36,3
2131.52,3
2131.67,3
2131.82,3
2131.97,3
2132.12,3
2132.28,3
2132.43,3
2132.58,3
2132.73,3
2132.89,3
2133.04,3
2133.19,3
2133.34,3
2133.5,3
2133.65,3
2133.8,3
2133.95,3
2134.11,3
2134.26,3
2134.41,3
2134.56,3
2134.72,3
2134.87,3
2135.02,3
2135.17,3
2135.33,3
2135.48,3
2135.63,3
2135.78,3
2135.93,3
2136.09,3
2136.24,3
2136.39,3
2136.54,3
2136.7,3
2136.85,3
2137,3
2137.15,3
2137.31,3
2137.46,3
2137.61,3
2137.76,3
2137.92,3
2138.07,3
2138.22,3
2138.37,3
2138.53,3
2138.68,3
2138.83,3
2138.98,3
2139.14,3
2139.29,3
2139.44,3
2139.59,3
2139.74,3
2139.9,3
2140.05,3
2140.2,3
2140.35,3
2140.51,3
2140.66,3
2140.81,3
2140.96,3
2141.12,3
2141.27,3
2141.42,3
2141.57,3
2141.73,3
2141.88,3
2142.03,3
2142.18,3
2142.34,3
2142.49,3
2142.64,3
2142.79,3
2142.95,3
2143.1,3
2143.25,3
2143.4,3
2143.55,3
2143.71,3
2143.86,3
2144.01,3
2144.16,3
2144.32,3
2144.47,3
2144.62,3
2144.77,3
2144.93,3
2145.08,3
2145.23,3
2145.38,3
2145.54,3
2145.69,3
2145.84,3
2145.99,3
2146.15,3
2146.3,3
2146.45,3
2146.6,3
2146.76,3
2146.91,3
2147.06,3
2147.21,3
2147.36,3
2147.52,3
2147.67,3
2147.82,3
2147.97,3
2148.13,3
2148.28,3
2148.43,3
2148.58,3
2148.74,3
2148.89,3
2149.04,3
2149.19,3
2149.35,3
2149.5,3
2149.65,3
2149.8,3
2149.96,3
2150.11,3
2150.26,3
2150.41,3
2150.57,3
2150.72,3
2150.87,3
2151.02,3
2151.17,3
2151.33,3
2151.48,3
2151.63,3
2151.78,3
2151.94,3
2152.09,3
2152.24,3
2152.39,3
2152.55,3
2152.7,3
2152.85,3
2153,3
2153.16,3
2153.31,3
2153.46,3
2153.61,3
2153.77,3
